Species;PE477_01;PE477_02;PE477_03;PE477_04;PE477_05;PE477_06;PE477_07;jetty;spuikom
Acidianus hospitalis;0;0;1;0;0;0;2;0;3
Acidovorax carolinensis;0;0;0;0;0;0;1;0;0
Acinetobacter baumannii;0;0;1;0;0;2;2;0;1
Acinetobacter johnsonii;0;0;0;0;0;1;0;0;0
Acinetobacter soli;0;0;0;0;0;0;0;0;1
Acinetobacter sp. CIP 102143;2;0;1;0;0;0;0;0;0
Acinetobacter sp. Marseille-P8049;0;0;0;0;1;0;1;0;0
Aeromonas hydrophila;0;0;0;0;0;0;1;0;0
Alcaligenes faecalis;0;0;1;0;0;0;0;0;0
Alkaliflexus imshenetskii;0;0;0;0;0;1;0;0;0
Alteromonas macleodii;0;0;0;0;0;0;1;0;0
Aquisalimonas asiatica;0;0;0;0;1;0;0;0;0
Bacillus cereus;0;0;0;0;1;0;0;0;1
Bacillus glycinifermentans;0;0;0;0;0;0;1;0;0
Bacillus mycoides;0;0;1;0;0;0;0;0;0
Bacillus sp. AG1163;0;0;0;0;0;1;0;0;0
Bacillus subtilis;0;0;1;0;1;0;0;0;0
Bacteroides uniformis;0;0;0;0;1;0;0;0;0
Bradyrhizobium lablabi;0;0;0;0;0;0;1;0;0
Brevibacillus laterosporus;0;0;0;0;0;0;0;0;1
Burkholderia cenocepacia;0;0;0;0;1;1;0;0;0
Burkholderia pseudomallei;0;0;0;0;0;0;1;0;0
Burkholderia thailandensis;0;0;0;0;0;0;1;0;0
Candidatus Hamiltonella defensa;38;1;1;0;159;422;313;7;0
Candidatus Nitrosotalea sinensis;0;0;0;0;1;0;0;0;0
Candidatus Pelagibacter ubique;20;5;523;0;36;73;107;6;86
Candidatus Puniceispirillum marinum;35;4;36;1;21;44;39;6;24
Caulobacter vibrioides;0;0;0;0;0;0;0;0;1
Caviibacter abscessus;0;0;0;0;0;0;0;1;0
Cellulophaga baltica;2;0;5;1;3;3;2;0;6
Chitinophaga sp. YR573;0;0;2;0;0;0;0;0;0
Chromobacterium sp. LK1;0;0;0;0;0;0;1;0;0
Chryseobacterium scophthalmum;1;0;0;0;0;1;0;0;0
Chryseobacterium sp. F5649;1;0;0;0;0;0;0;0;0
Clostridium perfringens;0;0;1;0;1;0;0;0;0
Clostridium sporogenes;0;0;0;0;0;0;1;0;0
Colwellia psychrerythraea;36;0;2;0;0;0;0;25;55
Coprococcus sp. OM06-34AC;0;0;0;0;0;0;0;0;0
Dinoroseobacter shibae;0;0;7;0;1;0;0;0;155
Escherichia coli;0;0;3;0;3;0;1;0;1
Finegoldia magna;0;0;0;0;1;0;0;0;0
Flavobacterium columnare;3;0;28;0;29;0;22;2;0
Flavobacterium psychrophilum;0;0;1;0;0;0;0;0;2
Flavobacterium sp. GSP27;0;0;1;0;0;0;0;0;2
Flavobacterium sp. GSP39;0;0;0;0;0;1;0;0;0
Flavobacterium sp. LB2P53;0;0;1;0;0;0;0;0;0
Flavobacterium sp. LM4;0;0;1;0;0;0;0;0;0
Flavobacterium sp. RSP46;0;0;0;0;0;0;0;1;1
Fusobacterium necrophorum;0;0;0;0;1;0;0;0;0
Gemella sanguinis;1;0;0;0;0;0;0;0;0
Globicatella sanguinis;0;0;0;0;0;1;0;0;0
Haemophilus parainfluenzae;0;0;0;0;0;0;0;1;0
Halomonas sp. 141;0;0;0;0;0;0;0;0;1
Hungateiclostridium alkalicellulosi;0;0;0;0;0;0;1;0;1
Klebsiella pneumoniae;0;0;0;0;0;0;1;0;0
Lachnoanaerobaculum sp. ICM7;0;0;0;0;1;0;0;0;0
Lactobacillus fermentum;16;0;245;2;85;147;183;22;87
Lactobacillus gasseri;0;0;1;0;2;1;0;1;15
Lactobacillus jensenii;1;0;0;0;0;3;0;0;1
Lactobacillus johnsonii;2;0;3;0;1;14;2;0;2
Lactobacillus plantarum;1;0;2;0;1;0;1;0;2
Lactococcus lactis;1;0;0;0;0;0;1;0;0
Leptospira weilii;0;0;1;0;0;0;0;0;0
Leuconostoc mesenteroides;0;0;0;0;0;0;1;0;0
Listeria monocytogenes;0;0;0;0;0;1;0;0;0
Lysinibacillus sp. KCTC 33748;0;0;0;0;1;0;0;0;0
Mesorhizobium loti;0;0;0;0;0;1;0;0;0
Methylomonas koyamae;0;0;0;0;1;0;1;0;0
Methylophilus sp. 5;0;0;1;0;0;0;0;0;0
Microcystis aeruginosa;0;0;0;0;0;0;0;1;5
Moraxella atlantae;0;0;0;0;0;1;0;0;0
Myxococcus xanthus;0;0;1;0;0;0;1;0;0
Neisseria dentiae;0;0;0;0;0;0;1;0;0
Neochlamydia sp. S13;0;0;0;0;0;1;0;0;0
Nioella nitratireducens;0;0;0;0;0;2;0;0;0
Nitrosopumilus adriaticus;0;0;0;0;0;0;1;0;0
Olleya sp. Hel_I_94;0;0;0;0;0;0;0;0;1
Ornithobacterium rhinotracheale;0;0;0;0;0;0;0;0;1
Oscillatoria sp. PCC 10802;1;0;0;0;0;0;0;0;0
Paenibacillus sp. FSL R7-0273;0;0;0;0;1;0;0;0;0
Paeniclostridium sordellii;0;0;1;0;0;0;0;0;0
Pasteuria penetrans;0;0;0;0;0;0;1;0;0
Pectobacterium carotovorum;0;0;0;0;0;0;0;0;1
Polaribacter sp. IC073;0;0;0;0;0;1;0;0;0
Prevotella nigrescens;0;0;0;0;0;1;0;0;0
Prochlorococcus marinus;2;0;8;0;2;16;2;2;2
Proteus mirabilis;0;0;1;0;0;0;0;0;0
Pseudomonas aeruginosa;0;0;6;0;4;6;1;0;2
Pseudomonas sp. ALS1279;0;0;0;0;0;0;0;1;0
Pseudomonas tolaasii;0;0;0;0;1;0;0;0;0
Rhodobacter capsulatus;0;0;5;0;2;2;2;0;5
Rhodobacter sphaeroides;0;0;0;0;0;1;0;0;0
Rhodococcus rhodochrous;0;0;1;0;0;0;0;0;0
Rhodovulum sp. P5;0;0;0;0;0;0;1;0;0
Roseovarius salinarum;0;0;0;0;0;0;0;0;1
Roseovarius sp. A-2;0;0;0;0;0;0;1;0;0
Rubellimicrobium thermophilum;0;0;0;0;0;0;0;0;1
Salinispora arenicola;0;0;0;0;0;1;0;0;0
Salmonella sp. SSDFZ54;0;0;0;0;0;0;0;0;1
Sinorhizobium meliloti;0;0;0;0;0;0;0;0;1
Staphylococcus epidermidis;0;0;0;0;0;2;0;0;4
Staphylococcus hominis;0;0;0;0;3;2;1;0;11
Staphylococcus saprophyticus;3;0;0;0;12;15;3;0;89
Staphylococcus xylosus;0;0;0;0;0;1;0;0;0
Stomatobaculum longum;0;0;0;0;0;0;1;0;0
Streptobacillus moniliformis;0;0;1;0;0;0;0;0;0
Streptococcus agalactiae;0;0;0;0;1;0;0;0;0
Streptococcus australis;0;0;0;0;0;0;1;0;0
Streptococcus gordonii;0;0;0;0;0;0;0;0;6
Streptococcus sp. UMB1385;0;0;0;0;1;0;0;0;0
Streptomyces sp. 142MFCol3.1;0;0;0;0;1;0;1;0;0
Synechococcus sp. CB0101;1;0;2;0;9;2;2;2;0
Synechococcus sp. WH 7805;0;0;0;0;1;0;1;0;0
Synechococcus sp. WH 8102;0;0;1;0;0;6;0;0;0
Synechococcus sp. WH 8109;0;0;0;0;1;1;1;0;0
Thermoanaerobacter sp. X561;0;0;1;0;1;1;0;0;0
Thermoanaerobacterium saccharolyticum;0;0;0;0;0;0;1;0;0
Trichormus variabilis;0;0;0;0;0;1;0;0;0
Vibrio alginolyticus;0;0;3;0;1;3;0;0;1
Vibrio cholerae;0;0;1;0;0;0;0;0;0
Vibrio parahaemolyticus;0;0;0;0;0;0;0;0;4
Vibrio splendidus;0;0;0;0;0;1;0;0;0
Vibrio vulnificus;0;0;0;0;0;1;0;0;0
Yersinia kristensenii;0;0;0;0;0;1;0;0;0
