Family;jetty;spuikom;PE477_06;PE477_01;PE477_02;PE477_03;PE477_04;PE477_07;PE477_05
Unknown;309;1505;2081;512;81;2366;51;1508;1389
Autographiviridae;36;122;111;72;4;128;4;131;114
Zobellviridae;9;83;125;17;1;105;2;78;39
Kyanoviridae;8;169;302;9;0;134;0;22;20
Herelleviridae;7;16;8;1;0;12;0;8;10
Schitoviridae;2;0;4;0;0;3;0;2;3
Demerecviridae;1;8;40;9;0;55;0;22;22
Orlajensenviridae;1;0;0;0;0;0;0;0;1
Guelinviridae;0;44;9;0;0;27;0;0;2
Straboviridae;0;41;40;5;0;44;0;47;20
Salasmaviridae;0;14;31;4;0;14;0;13;11
Casjensviridae;0;9;5;0;0;6;0;6;6
Ackermannviridae;0;8;8;0;0;15;0;16;7
Mesyanzhinovviridae;0;7;22;2;2;21;1;35;19
Drexlerviridae;0;7;0;0;0;2;0;2;3
Chaseviridae;0;4;10;0;0;8;0;10;3
Rountreeviridae;0;2;0;0;0;3;0;0;0
Vilmaviridae;0;2;0;0;0;0;0;0;0
Peduoviridae;0;0;0;0;0;0;0;4;0
Zierdtviridae;0;0;0;0;0;1;1;3;1
